epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.847,1.06375,1.39823,1.20172,0.89743,0.9101,0.94786,0.62336,1.11452,1.1067,1.28928,0.000665045,0.000665045,0.000665045
2,249.359,1.09241,0.85604,1.20894,0.87146,0.8548,0.89756,0.59705,1.10999,0.87614,1.28798,0.00131523,0.00131523,0.00131523
3,371.87,1.09941,0.77509,1.22545,0.95293,0.95469,0.97612,0.68048,1.04205,0.66751,1.25273,0.00194892,0.00194892,0.00194892
4,494.152,1.07288,0.7232,1.20892,0.9444,0.94366,0.97232,0.65261,1.13943,0.69043,1.32411,0.00192575,0.00192575,0.00192575
5,616.329,1.02514,0.67151,1.18338,0.96436,0.95955,0.98271,0.70355,1.01758,0.57598,1.19317,0.001901,0.001901,0.001901
6,738.615,0.99936,0.62848,1.16895,0.97818,0.97146,0.98884,0.71407,0.99098,0.53246,1.18612,0.00187625,0.00187625,0.00187625
7,860.867,0.97781,0.60219,1.15695,0.97893,0.97025,0.98962,0.72118,0.9723,0.54105,1.16342,0.0018515,0.0018515,0.0018515
8,983.107,0.96021,0.58376,1.14157,0.943,0.97203,0.98348,0.73343,0.90948,0.57368,1.15275,0.00182675,0.00182675,0.00182675
9,1105.3,0.94665,0.57035,1.14186,0.96365,0.98109,0.98901,0.73727,0.92802,0.49524,1.1783,0.001802,0.001802,0.001802
10,1227.45,0.93167,0.54682,1.12755,0.97914,0.97557,0.98946,0.73706,0.92219,0.48861,1.15744,0.00177725,0.00177725,0.00177725
11,1349.81,0.93477,0.54226,1.12776,0.9841,0.9803,0.99149,0.75861,0.86224,0.46351,1.1091,0.0017525,0.0017525,0.0017525
12,1472.05,0.91423,0.53016,1.12404,0.96572,0.97006,0.98996,0.74818,0.8902,0.46212,1.13475,0.00172775,0.00172775,0.00172775
13,1594.18,0.90772,0.52098,1.11042,0.98345,0.98339,0.99241,0.76807,0.87477,0.42092,1.11264,0.001703,0.001703,0.001703
14,1716.39,0.89243,0.50813,1.11,0.98654,0.98424,0.99296,0.76691,0.864,0.42617,1.10155,0.00167825,0.00167825,0.00167825
15,1838.68,0.88938,0.5003,1.10977,0.98651,0.97949,0.99338,0.75887,0.88512,0.4365,1.11812,0.0016535,0.0016535,0.0016535
16,1960.98,0.88179,0.49232,1.10103,0.98543,0.98463,0.9925,0.76621,0.84041,0.42366,1.09223,0.00162875,0.00162875,0.00162875
17,2083.06,0.87648,0.4942,1.10745,0.98891,0.98336,0.9933,0.7795,0.84626,0.4149,1.10269,0.001604,0.001604,0.001604
18,2205.17,0.8717,0.48577,1.10043,0.9905,0.98634,0.99351,0.79144,0.81609,0.37363,1.07071,0.00157925,0.00157925,0.00157925
19,2327.37,0.86456,0.48162,1.10004,0.98968,0.9824,0.9934,0.77337,0.84371,0.41067,1.09024,0.0015545,0.0015545,0.0015545
20,2449.65,0.86228,0.47155,1.0893,0.99044,0.98857,0.99369,0.78558,0.81167,0.383,1.06932,0.00152975,0.00152975,0.00152975
21,2571.92,0.85955,0.468,1.08916,0.99209,0.9884,0.99392,0.79412,0.80262,0.37734,1.05662,0.001505,0.001505,0.001505
22,2694.07,0.8618,0.46877,1.09286,0.99039,0.99251,0.99405,0.79509,0.79377,0.37843,1.06673,0.00148025,0.00148025,0.00148025
23,2816.4,0.84988,0.46072,1.08293,0.99187,0.98897,0.99378,0.79377,0.78228,0.37574,1.04763,0.0014555,0.0014555,0.0014555
24,2938.53,0.84307,0.4543,1.08581,0.99059,0.98779,0.99418,0.79659,0.79709,0.38309,1.06158,0.00143075,0.00143075,0.00143075
25,3060.67,0.83082,0.44426,1.08062,0.99375,0.99015,0.99448,0.80189,0.77406,0.35865,1.04687,0.001406,0.001406,0.001406
26,3182.87,0.83094,0.44376,1.0785,0.99334,0.99173,0.99436,0.80482,0.76745,0.35165,1.0458,0.00138125,0.00138125,0.00138125
27,3305.04,0.82058,0.43623,1.07823,0.99536,0.98976,0.99442,0.80653,0.76019,0.35624,1.03732,0.0013565,0.0013565,0.0013565
28,3427.37,0.82863,0.43843,1.07765,0.99486,0.99213,0.99454,0.7998,0.77224,0.34876,1.04859,0.00133175,0.00133175,0.00133175
29,3549.64,0.8198,0.4338,1.06872,0.99096,0.99288,0.99388,0.7986,0.76913,0.37171,1.05229,0.001307,0.001307,0.001307
30,3671.77,0.82417,0.43759,1.07535,0.99563,0.98736,0.99448,0.81064,0.7499,0.34078,1.03976,0.00128225,0.00128225,0.00128225
31,3793.74,0.81397,0.42653,1.07836,0.9936,0.99251,0.99403,0.81667,0.75456,0.33416,1.03445,0.0012575,0.0012575,0.0012575
32,3915.92,0.80438,0.41916,1.06489,0.99202,0.99015,0.99398,0.81184,0.74901,0.33925,1.0342,0.00123275,0.00123275,0.00123275
33,4038.11,0.7987,0.41889,1.06432,0.99151,0.99173,0.99385,0.80692,0.75356,0.33536,1.03943,0.001208,0.001208,0.001208
34,4160.36,0.7951,0.41323,1.06347,0.99327,0.98922,0.99409,0.80215,0.74614,0.34555,1.03715,0.00118325,0.00118325,0.00118325
